image_path,true_label,load_stage,width,height,file_size_kb,blur_score,brightness,edge_density,fast_correct,fast_confidence,fast_latency_ms,fast_utility,balanced_correct,balanced_confidence,balanced_latency_ms,balanced_utility,heavy_correct,heavy_confidence,heavy_latency_ms,heavy_utility,best_tier
data\test\Mango__Rotten\rottenMango (27).jpg,Mango__Rotten,light,224,224,10.08,329.19,107.72,0.0863,1,0.9859,14.27,0.8513,1,1.0,43.83,0.7012,1,1.0,35.19,0.6924,fast
data\test\Tomato__Healthy\freshTomato (50).jpg,Tomato__Healthy,light,224,224,9.41,305.9,106.06,0.0643,0,0.3552,63.18,-0.1651,1,1.0,161.32,0.662,1,1.0,195.91,0.6387,balanced
data\test\Grape__Healthy\FreshGrape (32).jpg,Grape__Healthy,burst,507,642,36.36,3.49,159.8,0.0013,1,0.879,639.46,0.6426,1,1.0,1597.73,0.1827,1,0.9999,1356.72,0.2514,fast
data\test\Mango__Healthy\freshMango (267).jpg,Mango__Healthy,light,224,224,4.44,73.8,107.42,0.0151,1,0.97,63.18,0.8349,1,1.0,28.31,0.7064,1,0.9988,47.82,0.6882,fast
data\test\Mango__Healthy\443.jpg,Mango__Healthy,light,224,224,2.63,20.86,145.19,0.0071,1,0.9429,34.25,0.8446,1,1.0,38.43,0.703,1,1.0,58.9,0.6845,fast
data\test\Carrot__Rotten\rottenCarrot (26).jpg,Carrot__Rotten,heavy,275,183,5.62,1189.49,157.88,0.0571,0,0.8049,638.74,-0.3571,1,0.9999,1086.41,0.3533,1,1.0,923.42,0.396,heavy
data\test\Orange__Healthy\freshOrange (172).png,Orange__Healthy,light,480,322,194.23,437.69,121.3,0.0527,1,0.9656,48.33,0.8399,1,0.9999,147.0,0.6668,1,0.9998,62.92,0.6831,fast
data\test\Banana__Rotten\rotated_by_45_Screen Shot 2018-06-12 at 9.14.43 PM.png,Banana__Rotten,light,548,356,149.25,597.6,141.54,0.0438,1,0.9978,24.27,0.8479,1,0.9927,24.03,0.7078,1,0.9981,271.73,0.6134,fast
data\test\Orange__Rotten\rotated_by_15_Screen Shot 2018-06-12 at 11.28.28 PM.png,Orange__Rotten,light,292,310,87.07,531.16,162.58,0.0257,0,0.3334,88.64,-0.1736,1,1.0,128.49,0.673,1,0.9999,234.02,0.626,balanced
data\test\Apple__Healthy\translation_Screen Shot 2018-06-08 at 5.28.10 PM.png,Apple__Healthy,heavy,474,416,183.44,572.23,134.72,0.0149,1,0.9678,668.6,0.6329,1,1.0,1277.28,0.2896,1,1.0,1346.76,0.2547,fast
data\test\Cucumber__Healthy\freshCucumber (386).jpg,Cucumber__Healthy,light,224,224,21.29,1652.26,96.94,0.2086,1,0.9573,43.92,0.8414,1,1.0,107.01,0.6802,1,0.9998,71.1,0.6804,fast
data\test\Banana__Rotten\Screen Shot 2018-06-12 at 8.49.15 PM.png,Banana__Rotten,heavy,708,436,214.72,30.72,225.66,0.0234,1,0.8919,551.4,0.672,1,0.9999,1192.34,0.3179,1,1.0,1239.98,0.2903,fast
data\test\Potato__Rotten\rottenPotato (392).jpg,Potato__Rotten,heavy,259,194,7.11,484.16,130.94,0.0815,0,0.4861,755.11,-0.396,1,0.9981,1118.02,0.3427,1,0.999,1166.26,0.3149,balanced
data\test\Potato__Rotten\rottenPotato (236).jpg,Potato__Rotten,heavy,275,184,4.07,299.63,139.24,0.0442,1,0.3468,709.29,0.6193,1,0.976,1065.28,0.3603,1,0.9975,992.26,0.373,fast
data\test\Mango__Healthy\824.jpg,Mango__Healthy,light,224,224,5.08,29.35,95.85,0.0064,1,0.931,89.52,0.8261,1,1.0,40.64,0.7023,1,1.0,82.58,0.6766,fast
data\test\Orange__Rotten\rotated_by_30_Screen Shot 2018-06-12 at 11.23.13 PM.png,Orange__Rotten,burst,520,440,239.36,343.18,159.6,0.0183,1,0.9913,1170.79,0.4653,1,1.0,2593.39,0.0159,1,0.9998,3134.77,0.0041,fast
data\test\Potato__Rotten\rottenPotato (556).jpg,Potato__Rotten,burst,450,320,16.32,674.29,168.82,0.0634,0,0.4188,1078.53,-0.5039,1,0.9252,276.08,0.6237,1,0.8826,1215.35,0.2985,balanced
data\test\Mango__Rotten\lasio_087.jpg,Mango__Rotten,light,224,224,7.95,288.58,77.28,0.0527,1,0.8952,23.42,0.8482,1,0.9997,90.89,0.6855,1,0.9993,140.19,0.6573,fast
data\test\Orange__Rotten\rotated_by_60_Screen Shot 2018-06-12 at 11.26.07 PM.png,Orange__Rotten,light,230,210,72.84,544.64,143.19,0.0639,1,0.9899,9.72,0.8528,1,1.0,89.19,0.6861,1,1.0,114.04,0.6661,fast
data\test\Banana__Rotten\rotated_by_15_Screen Shot 2018-06-12 at 9.22.57 PM.png,Banana__Rotten,heavy,610,346,170.51,356.37,172.18,0.0496,1,0.9986,699.68,0.6225,1,1.0,1077.58,0.3562,1,1.0,923.42,0.396,fast
data\test\Strawberry__Rotten\rottenStrawberry (525).jpg,Strawberry__Rotten,heavy,224,224,5.3,154.99,132.25,0.0397,1,0.956,582.27,0.6617,1,1.0,1076.47,0.3566,1,0.9999,996.73,0.3715,fast
data\test\Carrot__Rotten\rottenCarrot (15).jpg,Carrot__Rotten,heavy,275,183,8.94,1155.47,174.09,0.1248,1,0.6644,181.72,0.7954,1,1.0,1150.87,0.3318,1,0.9995,922.51,0.3963,fast
data\test\Banana__Rotten\rotated_by_15_Screen Shot 2018-06-12 at 9.21.25 PM.png,Banana__Rotten,light,228,348,95.76,379.02,137.6,0.0279,1,0.8257,100.46,0.8225,1,1.0,116.08,0.6771,1,0.9991,159.35,0.651,fast
data\test\Cucumber__Healthy\freshCucumber (279).jpg,Cucumber__Healthy,burst,1000,1000,129.51,22.03,128.0,0.0066,1,0.9865,1179.36,0.4624,1,0.9999,1722.14,0.1411,1,0.9997,3140.46,0.0041,fast
data\test\Jujube__Healthy\FreshJujube (155).jpg,Jujube__Healthy,burst,3047,2722,975.2,16.47,176.58,0.0002,1,0.8501,1165.59,0.467,1,1.0,1610.15,0.1785,1,1.0,2757.94,0.0041,fast
data\test\Cucumber__Rotten\rottenCucumber (80).jpg,Cucumber__Rotten,heavy,100,100,4.37,2927.56,175.16,0.0593,1,0.9974,663.51,0.6346,1,1.0,1138.32,0.336,1,1.0,797.29,0.438,fast
data\test\Apple__Healthy\rotated_by_30_Screen Shot 2018-06-08 at 5.14.01 PM.png,Apple__Healthy,heavy,526,506,179.65,343.09,169.08,0.0101,1,0.9982,814.81,0.5841,1,0.9999,1185.28,0.3203,1,1.0,836.45,0.425,fast
data\test\Banana__Rotten\rotated_by_45_Screen Shot 2018-06-12 at 8.59.32 PM.png,Banana__Rotten,light,188,378,44.84,948.23,123.25,0.0325,1,0.9996,52.55,0.8385,1,1.0,98.35,0.683,1,1.0,149.6,0.6542,fast
data\test\Apple__Healthy\rotated_by_60_Screen Shot 2018-06-08 at 5.27.54 PM.png,Apple__Healthy,light,534,430,237.03,350.95,134.42,0.0173,1,0.9266,81.57,0.8288,1,0.9998,218.36,0.643,1,0.9998,147.01,0.6551,fast
data\test\Grape__Healthy\FreshGrape (115).jpg,Grape__Healthy,heavy,609,570,54.67,71.58,145.75,0.0092,1,0.8891,506.33,0.687,1,1.0,1162.29,0.328,1,0.9999,1228.87,0.294,fast
data\test\Carrot__Healthy\freshCarrot (454).jpg,Carrot__Healthy,light,400,300,21.8,103.97,159.4,0.0221,0,0.7643,61.98,-0.1647,1,1.0,77.27,0.6901,1,0.9999,147.01,0.6551,balanced
data\test\Orange__Rotten\Screen Shot 2018-06-12 at 11.41.44 PM.png,Orange__Rotten,light,418,374,212.68,30.51,156.84,0.0193,1,0.9993,104.8,0.821,1,1.0,44.61,0.701,1,1.0,103.05,0.6697,fast
data\test\Mango__Rotten\52.jpg,Mango__Rotten,light,224,224,5.25,419.27,115.41,0.0371,1,0.9455,50.82,0.8391,1,1.0,131.57,0.672,1,0.9999,142.73,0.6565,fast
data\test\Banana__Rotten\rottenBanana (209).jpg,Banana__Rotten,burst,502,390,205.84,275.2,185.29,0.0639,1,0.999,1355.71,0.4036,1,1.0,1946.26,0.0663,1,1.0,1605.01,0.1685,fast
data\test\Apple__Healthy\Screen Shot 2018-06-08 at 5.19.35 PM.png,Apple__Healthy,light,422,434,260.69,73.77,165.69,0.0316,1,0.9893,104.55,0.8211,1,1.0,75.07,0.6908,1,0.9999,79.14,0.6777,fast
data\test\Strawberry__Healthy\465.jpg,Strawberry__Healthy,heavy,224,224,3.46,60.94,145.36,0.0127,1,0.962,740.35,0.6089,1,1.0,1161.03,0.3284,1,1.0,1048.31,0.3543,fast
data\test\Banana__Rotten\rotated_by_75_Screen Shot 2018-06-12 at 9.00.31 PM.png,Banana__Rotten,heavy,566,354,75.46,304.16,142.53,0.0125,1,0.3447,584.65,0.6609,1,1.0,987.03,0.3865,1,0.9999,923.95,0.3958,fast
data\test\Banana__Rotten\translation_Screen Shot 2018-06-12 at 9.18.43 PM.png,Banana__Rotten,heavy,586,420,237.81,538.38,158.89,0.0318,1,0.9835,610.88,0.6522,1,1.0,1197.94,0.3161,1,0.9999,1048.1,0.3543,fast
data\test\Apple__Rotten\rottenApple (45).jpg,Apple__Rotten,light,3120,3149,1705.91,102.07,132.67,0.001,1,0.3613,48.88,0.8397,1,0.9993,65.93,0.6939,1,0.9246,68.05,0.6814,fast
data\test\Mango__Rotten\rottenMango (202).jpg,Mango__Rotten,light,224,224,10.83,492.57,100.52,0.176,1,0.9645,15.24,0.8509,1,1.0,91.6,0.6853,1,0.9995,73.16,0.6797,fast
data\test\Orange__Rotten\saltandpepper_Screen Shot 2018-06-12 at 11.41.35 PM.png,Orange__Rotten,heavy,418,398,207.41,2329.57,152.04,0.0564,1,0.9965,700.2,0.6223,1,1.0,1191.83,0.3181,1,0.9999,1113.79,0.3324,fast
data\test\Strawberry__Rotten\161.jpg,Strawberry__Rotten,burst,224,224,3.81,71.0,138.02,0.0204,1,0.8958,96.99,0.8237,1,1.0,3233.09,0.0159,1,1.0,1186.16,0.3083,fast
data\test\Apple__Healthy\rotated_by_60_Screen Shot 2018-06-08 at 5.12.20 PM.png,Apple__Healthy,light,378,342,126.54,246.44,129.15,0.0116,1,0.8527,89.89,0.826,1,0.9889,193.76,0.6512,1,0.9999,59.92,0.6841,fast
data\test\Apple__Healthy\freshApple (793).png,Apple__Healthy,heavy,320,258,107.05,1489.4,129.7,0.0608,0,0.606,739.31,-0.3907,1,0.9999,241.27,0.6353,1,0.9967,1106.14,0.335,balanced
data\test\Mango__Rotten\aspergillus_122.jpg,Mango__Rotten,light,224,224,6.18,128.46,145.18,0.0289,1,0.8151,17.68,0.8501,1,0.9999,25.89,0.7072,1,0.9985,50.97,0.6871,fast
data\test\Banana__Rotten\vertical_flip_Screen Shot 2018-06-12 at 9.00.38 PM.png,Banana__Rotten,heavy,506,302,114.93,50.36,174.66,0.0243,1,0.9404,639.5,0.6426,1,0.9998,1300.58,0.2818,1,0.995,1204.0,0.3023,fast
data\test\Mango__Healthy\freshMango (202).jpg,Mango__Healthy,light,224,224,5.71,57.05,121.04,0.0162,1,0.9965,71.57,0.8321,1,1.0,135.99,0.6705,1,1.0,77.89,0.6781,fast
data\test\Mango__Rotten\636.jpg,Mango__Rotten,light,224,224,10.68,396.8,103.88,0.1484,1,0.9834,21.36,0.8489,1,1.0,82.38,0.6884,1,1.0,125.32,0.6623,fast
data\test\Pomegranate__Healthy\FreshPomegranate (9).jpg,Pomegranate__Healthy,burst,2376,2103,752.7,48.86,114.38,0.0037,1,0.465,1170.28,0.4655,1,0.9999,1821.15,0.1081,1,0.9985,1121.27,0.3299,fast
data\test\Strawberry__Rotten\989.jpg,Strawberry__Rotten,burst,224,224,7.35,198.94,118.85,0.0448,1,0.9404,482.5,0.695,1,1.0,893.51,0.4177,1,0.9999,2064.59,0.0151,fast
data\test\Mango__Rotten\rottenMango (537).jpg,Mango__Rotten,burst,224,224,3.11,17.67,146.41,0.0112,1,0.915,1078.57,0.4961,1,1.0,2016.6,0.0429,1,1.0,2584.27,0.0041,fast
data\test\Strawberry__Rotten\14.jpg,Strawberry__Rotten,heavy,224,224,3.26,52.34,138.41,0.0129,1,0.9568,691.17,0.6254,1,1.0,1254.46,0.2972,1,0.9995,1187.71,0.3078,fast
data\test\Bellpepper__Rotten\rottenPepper (178).jpg,Bellpepper__Rotten,heavy,100,100,2.7,1207.92,102.44,0.1537,0,0.7285,622.7,-0.3518,1,0.6856,1180.37,0.3219,1,0.9196,1028.8,0.3608,heavy
data\test\Orange__Healthy\rotated_by_15_Screen Shot 2018-06-12 at 11.54.03 PM.png,Orange__Healthy,light,352,370,138.66,389.09,173.38,0.0129,1,0.8043,83.8,0.8281,1,1.0,60.39,0.6957,1,0.9987,157.19,0.6517,fast
data\test\Bellpepper__Rotten\rottenPepper (123).jpg,Bellpepper__Rotten,heavy,276,183,11.1,2024.59,123.25,0.1712,1,0.4717,778.62,0.5962,1,0.9665,1169.67,0.3255,1,0.9922,1227.86,0.2944,fast
data\test\Banana__Rotten\rotated_by_75_Screen Shot 2018-06-12 at 8.57.04 PM.png,Banana__Rotten,light,656,420,253.31,218.52,105.72,0.0154,1,0.9562,65.07,0.8343,1,1.0,20.57,0.709,1,1.0,110.47,0.6673,fast
data\test\Banana__Rotten\rotated_by_60_Screen Shot 2018-06-12 at 9.01.10 PM.png,Banana__Rotten,heavy,460,404,217.34,275.28,129.7,0.0266,1,0.5589,731.5,0.6119,1,0.9957,857.64,0.4296,1,0.6572,997.88,0.3711,fast
data\test\Mango__Rotten\926.jpg,Mango__Rotten,light,224,224,6.6,100.84,110.25,0.023,1,0.9944,95.93,0.824,1,1.0,41.33,0.7021,1,1.0,63.2,0.683,fast
data\test\Potato__Rotten\rottenPotato (324).jpg,Potato__Rotten,heavy,250,202,4.44,1062.21,228.93,0.0656,1,0.7393,639.5,0.6426,1,1.0,1084.52,0.3539,1,0.9946,1027.73,0.3611,fast
data\test\Apple__Rotten\translation_Screen Shot 2018-06-08 at 2.46.25 PM.png,Apple__Rotten,heavy,418,366,130.85,579.68,158.13,0.016,1,0.8342,668.75,0.6328,1,0.9979,1065.28,0.3603,1,0.9956,1241.04,0.29,fast
data\test\Tomato__Healthy\freshTomato (76).png,Tomato__Healthy,light,480,322,190.1,700.94,141.23,0.0652,1,0.9123,61.63,0.8355,1,0.9999,64.91,0.6942,1,0.9997,133.17,0.6597,fast
data\test\Banana__Rotten\translation_Screen Shot 2018-06-12 at 9.00.38 PM.png,Banana__Rotten,light,506,302,102.0,623.22,145.57,0.0256,1,0.9119,66.6,0.8338,1,0.9999,212.01,0.6451,1,0.9996,78.02,0.6781,fast
data\test\Strawberry__Healthy\382.jpg,Strawberry__Healthy,light,224,224,4.18,82.2,140.87,0.0174,1,0.6929,58.36,0.8365,1,1.0,91.8,0.6852,1,0.9997,63.37,0.683,fast
data\test\Banana__Healthy\rotated_by_45_Screen Shot 2018-06-12 at 10.01.37 PM.png,Banana__Healthy,light,568,408,132.66,413.39,179.48,0.0121,1,0.9968,111.71,0.8187,1,1.0,190.38,0.6523,1,1.0,107.3,0.6683,fast
data\test\Apple__Healthy\rotated_by_30_Screen Shot 2018-06-08 at 5.13.10 PM.png,Apple__Healthy,light,334,324,101.82,571.28,149.39,0.0197,1,0.8869,18.53,0.8498,1,0.9964,54.73,0.6976,1,0.9946,169.14,0.6477,fast
data\test\Apple__Rotten\rotated_by_60_Screen Shot 2018-06-08 at 2.37.03 PM.png,Apple__Rotten,light,364,312,97.52,540.76,148.68,0.0178,1,0.6668,23.24,0.8483,1,1.0,167.38,0.66,1,1.0,195.91,0.6387,fast
data\test\Tomato__Healthy\freshTomato (239).png,Tomato__Healthy,burst,320,258,108.58,1325.49,126.94,0.0706,1,0.95,1604.02,0.3207,1,1.0,865.48,0.427,1,1.0,1605.01,0.1685,balanced
data\test\Orange__Healthy\saltandpepper_Screen Shot 2018-06-13 at 12.15.39 AM.png,Orange__Healthy,heavy,274,232,82.04,2751.02,187.09,0.0529,1,0.9823,628.61,0.6462,1,0.9999,857.64,0.4296,1,0.9999,1278.53,0.2774,fast
data\test\Apple__Rotten\Screen Shot 2018-06-08 at 2.40.56 PM.png,Apple__Rotten,heavy,390,424,189.5,17.91,210.14,0.011,1,0.9124,727.23,0.6133,1,1.0,1161.65,0.3282,1,0.9998,529.01,0.5276,fast
data\test\Strawberry__Rotten\224.jpg,Strawberry__Rotten,heavy,224,224,4.33,79.58,130.63,0.0197,1,0.962,1293.71,0.4243,1,1.0,1161.03,0.3284,1,1.0,1040.89,0.3568,fast
data\test\Banana__Rotten\rotated_by_30_Screen Shot 2018-06-12 at 8.53.15 PM.png,Banana__Rotten,heavy,294,246,66.83,273.57,95.21,0.0254,0,0.496,409.76,-0.2807,1,1.0,1210.83,0.3118,1,0.9999,529.53,0.5274,heavy
data\test\Banana__Rotten\translation_Screen Shot 2018-06-12 at 9.11.17 PM.png,Banana__Rotten,light,558,426,302.65,409.17,143.95,0.0343,1,0.9574,45.69,0.8408,1,1.0,36.97,0.7035,1,1.0,43.7,0.6895,fast
data\test\Apple__Rotten\saltandpepper_Screen Shot 2018-06-07 at 2.41.14 PM.png,Apple__Rotten,heavy,428,326,124.76,2743.56,193.39,0.0346,1,0.9595,594.16,0.6577,1,1.0,1168.32,0.326,1,1.0,1227.86,0.2944,fast
data\test\Banana__Healthy\rotated_by_15_Screen Shot 2018-06-12 at 9.44.49 PM.png,Banana__Healthy,light,444,340,92.96,387.64,200.71,0.0172,1,0.9854,54.18,0.8379,1,1.0,158.09,0.6631,1,1.0,33.45,0.693,fast
data\test\Mango__Rotten\lasio_071.jpg,Mango__Rotten,light,224,224,8.08,283.03,116.52,0.0414,0,0.5004,73.39,-0.1685,1,0.9356,69.6,0.6926,1,0.9997,51.03,0.6871,balanced
data\test\Apple__Rotten\rottenApple (356).jpg,Apple__Rotten,light,588,440,129.9,357.53,133.61,0.0248,1,0.9538,82.7,0.8284,1,1.0,96.84,0.6835,1,1.0,138.51,0.6579,fast
data\test\Strawberry__Healthy\771.jpg,Strawberry__Healthy,light,224,224,6.72,113.44,114.01,0.0373,1,0.8952,123.4,0.8148,1,1.0,116.08,0.6771,1,1.0,227.0,0.6284,fast
data\test\Mango__Rotten\854.jpg,Mango__Rotten,heavy,224,224,6.31,102.21,97.35,0.035,1,0.9961,726.55,0.6135,1,1.0,1143.16,0.3344,1,0.9999,1027.73,0.3611,fast
data\test\Mango__Rotten\447.jpg,Mango__Rotten,light,224,224,9.75,356.33,99.25,0.0705,1,0.9886,75.76,0.8307,1,1.0,62.28,0.6951,1,1.0,55.23,0.6857,fast
data\test\Apple__Rotten\vertical_flip_Screen Shot 2018-06-07 at 2.57.49 PM.png,Apple__Rotten,heavy,326,280,59.52,36.07,212.38,0.019,1,0.8187,1054.23,0.5042,1,1.0,1361.29,0.2616,1,0.9999,581.89,0.5099,heavy
data\test\Strawberry__Healthy\freshStrawberry (306).jpg,Strawberry__Healthy,light,224,224,6.48,226.59,94.87,0.0171,1,0.9568,30.6,0.8458,1,1.0,102.97,0.6815,1,1.0,59.11,0.6844,fast
data\test\Strawberry__Healthy\freshStrawberry (277).jpg,Strawberry__Healthy,light,100,100,4.94,2027.51,143.95,0.0767,1,0.8673,11.61,0.8521,1,1.0,62.64,0.695,1,0.9998,27.22,0.695,fast
data\test\Apple__Healthy\rotated_by_75_Screen Shot 2018-06-08 at 5.22.58 PM.png,Apple__Healthy,light,432,408,170.97,358.9,128.84,0.0196,1,0.8152,40.47,0.8425,1,1.0,105.89,0.6805,1,0.9999,92.39,0.6733,fast
data\test\Carrot__Rotten\rottenCarrot (22).jpg,Carrot__Rotten,light,250,202,5.99,2131.38,214.24,0.079,0,0.3798,160.94,-0.1977,1,0.9532,130.07,0.6725,1,0.9901,107.12,0.6684,balanced
data\test\Mango__Healthy\953.jpg,Mango__Healthy,heavy,224,224,6.0,71.21,104.37,0.0109,1,0.8333,627.17,0.6467,1,1.0,1109.14,0.3457,1,1.0,922.51,0.3963,fast
data\test\Apple__Healthy\rotated_by_75_Screen Shot 2018-06-08 at 5.08.58 PM.png,Apple__Healthy,light,230,204,45.58,680.41,182.44,0.0215,1,0.9854,44.85,0.8411,1,0.9994,66.26,0.6938,1,0.9962,88.17,0.6747,fast
data\test\Strawberry__Rotten\rottenStrawberry (84).jpg,Strawberry__Rotten,light,3113,2894,1160.61,27.69,167.99,0.0014,1,0.8609,85.88,0.8274,1,1.0,76.88,0.6902,1,1.0,29.34,0.6943,fast
data\test\Apple__Healthy\saltandpepper_Screen Shot 2018-06-08 at 5.27.19 PM.png,Apple__Healthy,burst,376,386,150.21,2967.19,203.2,0.0424,1,0.9514,960.97,0.5353,1,1.0,1430.78,0.2384,1,0.9997,424.08,0.5626,heavy
data\test\Apple__Rotten\translation_Screen Shot 2018-06-07 at 2.31.43 PM.png,Apple__Rotten,light,342,334,91.84,727.92,168.49,0.0226,1,0.9143,60.87,0.8357,1,1.0,114.43,0.6777,1,1.0,24.02,0.6961,fast
data\test\Mango__Healthy\297.jpg,Mango__Healthy,light,224,224,4.22,105.68,135.27,0.0153,1,0.9117,89.48,0.8262,1,1.0,38.43,0.703,1,0.9998,109.58,0.6676,fast
data\test\Orange__Rotten\rotated_by_75_Screen Shot 2018-06-12 at 11.23.33 PM.png,Orange__Rotten,heavy,222,170,44.99,719.58,144.72,0.0273,1,0.5926,608.35,0.653,1,0.9883,1294.83,0.2837,1,0.8132,923.42,0.396,fast
data\test\Orange__Rotten\Screen Shot 2018-06-12 at 11.24.24 PM.png,Orange__Rotten,light,246,218,96.88,100.49,191.34,0.0682,1,0.8348,152.84,0.805,1,1.0,54.34,0.6977,1,1.0,128.44,0.6613,fast
data\test\Banana__Rotten\rotated_by_15_Screen Shot 2018-06-12 at 9.21.20 PM.png,Banana__Rotten,heavy,360,436,175.42,390.89,141.78,0.0375,1,0.9999,646.79,0.6402,1,1.0,1434.51,0.2371,1,1.0,997.88,0.3711,fast
data\test\Mango__Healthy\healthy_142.jpg,Mango__Healthy,burst,224,224,8.35,192.15,133.84,0.0368,0,0.3597,1412.24,-0.6153,1,1.0,1945.46,0.0666,1,0.9991,3157.5,0.0041,balanced
data\test\Mango__Rotten\76.jpg,Mango__Rotten,heavy,224,224,5.21,467.31,136.2,0.0559,1,0.9648,656.58,0.6369,1,1.0,1051.71,0.3649,1,0.9996,1345.91,0.255,fast
data\test\Jujube__Healthy\FreshJujube (163).jpg,Jujube__Healthy,heavy,3258,2404,909.42,16.58,175.5,0.0004,1,0.8947,734.83,0.6108,1,0.9978,857.64,0.4296,1,0.9995,1251.3,0.2865,fast
data\test\Pomegranate__Healthy\FreshPomegranate (30).jpg,Pomegranate__Healthy,light,2192,2194,684.33,32.62,116.47,0.0014,1,0.7858,41.18,0.8423,1,0.9994,136.16,0.6704,1,0.9156,171.58,0.6469,fast
data\test\Jujube__Healthy\FreshJujube (19).jpg,Jujube__Healthy,burst,4160,3120,2606.61,22.62,169.42,0.0002,1,0.5663,999.18,0.5226,1,0.9998,1751.75,0.1313,1,0.9955,12678.91,0.0041,fast
data\test\Apple__Healthy\rotated_by_45_Screen Shot 2018-06-08 at 5.11.59 PM.png,Apple__Healthy,light,420,438,143.59,519.15,131.6,0.0203,1,0.9595,10.2,0.8526,1,1.0,104.3,0.6811,1,1.0,136.01,0.6587,fast
data\test\Banana__Healthy\Banana__Healthy_augmented_53.jpg,Banana__Healthy,light,224,224,7.47,154.32,154.83,0.0256,1,0.8124,59.94,0.836,1,1.0,36.81,0.7036,1,1.0,159.16,0.651,fast
data\test\Apple__Healthy\translation_Screen Shot 2018-06-08 at 5.12.47 PM.png,Apple__Healthy,heavy,442,440,178.59,569.7,146.97,0.0121,1,0.9855,586.39,0.6603,1,1.0,1210.83,0.3118,1,0.9999,1265.81,0.2817,fast
data\test\Apple__Rotten\Screen Shot 2018-06-07 at 2.57.13 PM.png,Apple__Rotten,heavy,342,348,126.33,43.03,148.26,0.0227,0,0.5906,195.79,-0.2093,1,0.9999,1254.46,0.2972,1,0.9997,1019.05,0.364,heavy
data\test\Apple__Healthy\rotated_by_60_Screen Shot 2018-06-08 at 5.25.28 PM.png,Apple__Healthy,heavy,302,308,70.71,600.1,170.11,0.0175,1,0.9967,472.47,0.6983,1,1.0,1125.23,0.3403,1,1.0,1048.35,0.3543,fast
data\test\Apple__Rotten\saltandpepper_Screen Shot 2018-06-08 at 2.26.09 PM.png,Apple__Rotten,heavy,236,202,40.3,3410.93,205.83,0.0491,1,0.9931,661.34,0.6353,1,0.9997,1030.03,0.3721,1,0.9983,1241.04,0.29,fast
data\test\Mango__Healthy\160.jpg,Mango__Healthy,light,224,224,4.96,161.05,119.79,0.0161,1,0.9596,163.47,0.8015,1,0.9997,42.83,0.7016,1,0.9998,108.72,0.6678,fast
data\test\Banana__Healthy\saltandpepper_Screen Shot 2018-06-12 at 9.50.31 PM.png,Banana__Healthy,light,646,458,151.76,3220.68,232.16,0.0292,1,0.7475,89.65,0.8261,1,1.0,36.97,0.7035,1,0.9996,192.5,0.6399,fast
